,Week_1_Monday_0,Week_1_Tuesday_0,Week_1_Wenesday_0,Week_1_Thurday_0,Week_1_Friday_0,Week_2_Monday_0,Week_2_Tuesday_0,Week_2_Wenesday_0,Week_2_Thurday_0,Week_2_Friday_0,Week_3_Monday_0,Week_3_Tuesday_0,Week_3_Wenesday_0,Week_3_Thurday_0,Week_3_Friday_0,Week_4_Monday_0,Week_4_Tuesday_0,Week_4_Wenesday_0,Week_4_Thurday_0,Week_4_Friday_0,Week_5_Monday_0,Week_5_Tuesday_0,Week_5_Wenesday_0,Week_5_Thurday_0,Week_5_Friday_0
workforce_1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,
workforce_2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,
workforce_3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,,,,,
workforce_4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,
workforce_5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,
workforce_6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,
workforce_7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
workforce_8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,
workforce_9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,
workforce_10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,
workforce_11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
workforce_12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,
workforce_13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
workforce_14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
